timestamp,subject,exam,hr,temp
4280.0,S1,Midterm 1,89.93,27.79
4290.0,S1,Midterm 1,88.05,27.79
4300.0,S1,Midterm 1,86.85,27.79
4310.0,S1,Midterm 1,88.67,27.83
4320.0,S1,Midterm 1,90.07,27.83
4330.0,S1,Midterm 1,90.98,27.83
4340.0,S1,Midterm 1,89.85,27.87
4350.0,S1,Midterm 1,87.28,27.89
4360.0,S1,Midterm 1,84.43,27.87
4370.0,S1,Midterm 1,81.1,27.89
4380.0,S1,Midterm 1,81.23,27.89
4390.0,S1,Midterm 1,82.17,27.93
4400.0,S1,Midterm 1,82.02,27.93
4410.0,S1,Midterm 1,82.85,27.95
4420.0,S1,Midterm 1,83.5,27.99
4430.0,S1,Midterm 1,82.5,27.97
4440.0,S1,Midterm 1,80.37,28.01
4450.0,S1,Midterm 1,78.2,28.01
4460.0,S1,Midterm 1,79.17,28.03
4470.0,S1,Midterm 1,77.45,28.03
4480.0,S1,Midterm 1,77.03,28.05
4490.0,S1,Midterm 1,77.68,28.07
4500.0,S1,Midterm 1,77.53,28.07
4510.0,S1,Midterm 1,77.75,28.07
4520.0,S1,Midterm 1,76.5,28.09
4530.0,S1,Midterm 1,75.52,28.09
4540.0,S1,Midterm 1,73.85,28.11
4550.0,S1,Midterm 1,73.1,28.13
4560.0,S1,Midterm 1,73.47,28.13
4570.0,S1,Midterm 1,75.93,28.15
4580.0,S1,Midterm 1,78.77,28.15
4590.0,S1,Midterm 1,83.28,28.17
4600.0,S1,Midterm 1,87.53,28.17
4610.0,S1,Midterm 1,90.42,28.15
4620.0,S1,Midterm 1,92.2,28.15
4630.0,S1,Midterm 1,91.57,28.17
4640.0,S1,Midterm 1,91.82,28.17
4650.0,S1,Midterm 1,90.15,28.21
4660.0,S1,Midterm 1,88.62,28.21
4670.0,S1,Midterm 1,86.67,28.21
4680.0,S1,Midterm 1,85.5,28.23
4690.0,S1,Midterm 1,84.8,28.25
4700.0,S1,Midterm 1,83.53,28.25
4710.0,S1,Midterm 1,85.18,28.25
4720.0,S1,Midterm 1,86.53,28.25
4730.0,S1,Midterm 1,88.3,28.27
4740.0,S1,Midterm 1,88.03,28.29
4750.0,S1,Midterm 1,84.6,28.27
4760.0,S1,Midterm 1,81.35,28.31
4770.0,S1,Midterm 1,82.77,28.35
4780.0,S1,Midterm 1,83.52,28.31
4790.0,S1,Midterm 1,84.2,28.31
4800.0,S1,Midterm 1,85.67,28.31
4810.0,S1,Midterm 1,88.85,28.35
4820.0,S1,Midterm 1,92.6,28.31
4830.0,S1,Midterm 1,91.4,28.33
4840.0,S1,Midterm 1,91.15,28.31
4850.0,S1,Midterm 1,89.55,28.35
4860.0,S1,Midterm 1,88.28,28.37
4870.0,S1,Midterm 1,87.53,28.33
4880.0,S1,Midterm 1,86.97,28.33
4890.0,S1,Midterm 1,86.8,28.35
4900.0,S1,Midterm 1,87.78,28.33
4910.0,S1,Midterm 1,88.97,28.37
4920.0,S1,Midterm 1,89.18,28.35
4930.0,S1,Midterm 1,90.07,28.39
4940.0,S1,Midterm 1,91.02,28.35
4950.0,S1,Midterm 1,90.98,28.35
4960.0,S1,Midterm 1,89.18,28.37
4970.0,S1,Midterm 1,86.52,28.35
4980.0,S1,Midterm 1,84.58,28.35
4990.0,S1,Midterm 1,83.6,28.39
5000.0,S1,Midterm 1,82.5,28.39
5010.0,S1,Midterm 1,80.53,28.37
5020.0,S1,Midterm 1,78.97,28.41
5030.0,S1,Midterm 1,80.62,28.39
5040.0,S1,Midterm 1,82.48,28.41
5050.0,S1,Midterm 1,83.27,28.39
5060.0,S1,Midterm 1,84.92,28.39
5070.0,S1,Midterm 1,88.03,28.41
5080.0,S1,Midterm 1,89.37,28.43
5090.0,S1,Midterm 1,90.08,28.41
5100.0,S1,Midterm 1,92.43,28.45
5110.0,S1,Midterm 1,92.12,28.43
5120.0,S1,Midterm 1,89.12,28.45
5130.0,S1,Midterm 1,84.35,28.45
5140.0,S1,Midterm 1,81.62,28.45
5150.0,S1,Midterm 1,78.93,28.47
5160.0,S1,Midterm 1,75.38,28.49
5170.0,S1,Midterm 1,73.65,28.49
5180.0,S1,Midterm 1,76.12,28.51
5190.0,S1,Midterm 1,78.88,28.53
5200.0,S1,Midterm 1,80.85,28.51
5210.0,S1,Midterm 1,80.5,28.51
5220.0,S1,Midterm 1,77.33,28.53
5230.0,S1,Midterm 1,73.22,28.51
5240.0,S1,Midterm 1,67.72,28.53
5250.0,S1,Midterm 1,63.7,28.53
5260.0,S1,Midterm 1,63.67,28.55
5270.0,S1,Midterm 1,63.78,28.55
5280.0,S1,Midterm 1,66.75,28.57
5290.0,S1,Midterm 1,71.0,28.57
5300.0,S1,Midterm 1,73.88,28.57
5310.0,S1,Midterm 1,78.17,28.57
5320.0,S1,Midterm 1,78.4,28.59
5330.0,S1,Midterm 1,77.57,28.57
5340.0,S1,Midterm 1,77.52,28.55
5350.0,S1,Midterm 1,76.38,28.57
5360.0,S1,Midterm 1,76.27,28.59
5370.0,S1,Midterm 1,77.03,28.57
5380.0,S1,Midterm 1,79.33,28.59
5390.0,S1,Midterm 1,84.28,28.57
5400.0,S1,Midterm 1,88.78,28.57
5410.0,S1,Midterm 1,94.12,28.59
5420.0,S1,Midterm 1,96.38,28.59
5430.0,S1,Midterm 1,97.27,28.61
5440.0,S1,Midterm 1,98.03,28.61
5450.0,S1,Midterm 1,97.02,28.61
5460.0,S1,Midterm 1,94.55,28.61
5470.0,S1,Midterm 1,92.7,28.63
5480.0,S1,Midterm 1,92.22,28.65
5490.0,S1,Midterm 1,90.5,28.61
5500.0,S1,Midterm 1,87.6,28.63
5510.0,S1,Midterm 1,86.9,28.65
5520.0,S1,Midterm 1,86.73,28.65
5530.0,S1,Midterm 1,86.27,28.67
5540.0,S1,Midterm 1,86.3,28.65
5550.0,S1,Midterm 1,84.98,28.65
5560.0,S1,Midterm 1,81.75,28.63
5570.0,S1,Midterm 1,80.1,28.65
5580.0,S1,Midterm 1,78.8,28.69
5590.0,S1,Midterm 1,79.32,28.67
5600.0,S1,Midterm 1,81.53,28.67
5610.0,S1,Midterm 1,85.63,28.69
5620.0,S1,Midterm 1,92.82,28.67
5630.0,S1,Midterm 1,94.37,28.69
5640.0,S1,Midterm 1,92.02,28.67
5650.0,S1,Midterm 1,87.13,28.67
5660.0,S1,Midterm 1,83.23,28.69
5670.0,S1,Midterm 1,79.05,28.69
5680.0,S1,Midterm 1,72.65,28.69
5690.0,S1,Midterm 1,69.78,28.67
5700.0,S1,Midterm 1,73.62,28.67
5710.0,S1,Midterm 1,78.23,28.69
5720.0,S1,Midterm 1,78.52,28.69
5730.0,S1,Midterm 1,77.88,28.69
5740.0,S1,Midterm 1,79.42,28.69
5750.0,S1,Midterm 1,82.83,28.69
5760.0,S1,Midterm 1,82.52,28.69
5770.0,S1,Midterm 1,80.53,28.71
5780.0,S1,Midterm 1,78.67,28.71
5790.0,S1,Midterm 1,75.57,28.69
5800.0,S1,Midterm 1,72.07,28.67
5810.0,S1,Midterm 1,66.65,28.67
5820.0,S1,Midterm 1,61.52,28.71
5830.0,S1,Midterm 1,58.4,28.69
5840.0,S1,Midterm 1,58.15,28.67
5850.0,S1,Midterm 1,62.52,28.67
5860.0,S1,Midterm 1,65.23,28.67
5870.0,S1,Midterm 1,68.1,28.65
5880.0,S1,Midterm 1,71.15,28.63
5890.0,S1,Midterm 1,74.53,28.65
5900.0,S1,Midterm 1,76.9,28.63
5910.0,S1,Midterm 1,75.77,28.63
5920.0,S1,Midterm 1,76.57,28.63
5930.0,S1,Midterm 1,77.45,28.61
5940.0,S1,Midterm 1,79.73,28.57
5950.0,S1,Midterm 1,83.2,28.57
5960.0,S1,Midterm 1,86.57,28.59
5970.0,S1,Midterm 1,89.22,28.59
5980.0,S1,Midterm 1,92.58,28.55
5990.0,S1,Midterm 1,98.35,28.59
6000.0,S1,Midterm 1,103.93,28.53
6010.0,S1,Midterm 1,108.02,28.55
6020.0,S1,Midterm 1,115.18,28.57
6030.0,S1,Midterm 1,124.75,28.55
6040.0,S1,Midterm 1,133.27,28.57
6050.0,S1,Midterm 1,139.6,28.53
6060.0,S1,Midterm 1,143.6,28.57
6070.0,S1,Midterm 1,146.87,28.57
6080.0,S1,Midterm 1,145.8,28.57
6090.0,S1,Midterm 1,144.98,28.55
